S.no.,k,Success Rate,Collision Rate,Nav Time,Total Reward,Freq. Danger,Avg. Min. Separation dist in Danger,Configuration of Robot,Configuration of humans
1,1,0.0,1.0,25,-0.5931890770207942,0.25,0.13524492924523462,"[[(-0.4, -5.8), (-0.2, 4.8)]]","[[(1.1, 1.8), (-0.9, -5.5)], [(-1.1, 2.3), (7.0, 0.6)], [(6.6, 0.3), (1.2, 7.2)], [(0.2, -4.8), (4.2, 0.7)], [(-2.3, -0.5), (5.9, 0.1)], [(-0.4, -7.1), (0.2, 3.7)], [(1.4, -1.1), (1.1, -4.9)], [(0.1, 6.7), (0.6, 2.1)]]"
<<<<<<< Updated upstream
=======
1,1,0.0,1.0,25,-0.5654146459984757,0.5,0.13338562635847326,"[[(-4.6, -0.8), (-1.0, -4.0)]]","[[(-5.9, -0.2), (-4.1, 0.1)], [(-3.2, 0.9), (-0.6, -2.4)], [(4.8, -1.1), (1.2, -4.9)], [(2.6, 0.6), (-0.2, 5.6)], [(-4.6, 0.3), (5.9, 0.1)], [(1.0, 4.5), (-0.1, -6.0)], [(1.1, -2.8), (-7.1, 0.4)], [(3.3, -1.2), (5.2, 1.0)]]"
1,1,0.0,1.0,25,-0.4994821081228785,0.15384615384615385,0.12955416456119,"[[(-0.3, 2.7), (-0.7, -5.6)]]","[[(-0.6, -4.8), (5.1, 1.0)], [(-0.3, -1.1), (1.1, -2.4)], [(0.7, 1.0), (3.3, 0.4)], [(1.8, -0.7), (-4.6, -1.1)], [(7.0, 0.4), (4.2, -1.0)], [(0.1, 3.7), (-2.5, -0.6)], [(0.7, -0.9), (-0.5, -5.7)], [(-1.6, 0.2), (-1.2, -3.4)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(4.6, 1.0), (-0.3, -5.4)]]","[[(-0.6, -0.9), (-0.2, 6.7)], [(0.8, 5.7), (2.4, 0.4)], [(0.5, 1.8), (-0.0, -2.4)], [(-3.4, 0.2), (6.5, 1.0)], [(3.9, 0.6), (-6.2, -0.2)], [(-1.0, 0.9), (0.9, -4.2)], [(2.6, 0.3), (0.1, 2.3)], [(2.3, -1.2), (3.1, 1.2)]]"
1,1,1.0,0.0,3.25,1.2205170233439318,0.0,0,"[[(-3.3, 0.7), (2.8, -0.3)]]","[[(2.3, -0.7), (-1.1, -6.6)], [(-4.9, -0.3), (0.7, -3.5)], [(0.2, 0.7), (-0.9, 3.6)], [(3.5, -0.2), (0.2, 5.5)], [(0.1, -7.0), (-6.5, 0.4)], [(0.6, -3.0), (0.8, -4.5)], [(2.5, 0.4), (0.0, 4.1)], [(0.9, 7.1), (2.4, 1.1)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(2.3, -1.2), (-5.1, -0.1)]]","[[(0.7, 2.8), (3.7, -0.7)], [(2.5, -0.7), (-0.6, -2.7)], [(0.8, -1.0), (-4.4, 1.2)], [(5.0, 0.5), (-0.4, 3.6)], [(0.9, 6.0), (5.4, -0.5)], [(5.7, -1.0), (-1.2, 4.6)], [(0.4, -2.7), (0.3, -6.9)], [(-1.6, -0.5), (6.2, 1.1)]]"
1,1,0.0,1.0,25,-0.75,0.0,0,"[[(1.2, 4.0), (4.3, -1.0)]]","[[(1.2, 4.3), (-0.5, -3.7)], [(0.0, -2.1), (-3.9, -0.1)], [(0.5, 0.6), (-0.0, 2.7)], [(0.9, 6.1), (1.1, -6.6)], [(3.3, -0.4), (4.4, -0.1)], [(-1.2, 0.9), (-0.3, -4.7)], [(4.5, 0.4), (-5.5, -0.8)], [(-1.1, -6.8), (-0.2, 7.1)]]"
1,1,1.0,0.0,6.5,0.6497273717128411,0.3076923076923077,0.0891002986189472,"[[(-1.0, -6.4), (-3.2, 1.2)]]","[[(3.4, -0.7), (-0.1, 7.2)], [(-7.2, -0.4), (-5.3, -0.1)], [(6.3, 0.3), (-0.6, 3.6)], [(-1.6, -1.0), (-5.2, -1.2)], [(6.0, -0.9), (-0.3, 5.7)], [(-0.3, 1.5), (0.6, -4.4)], [(-6.0, 0.6), (0.8, 4.6)], [(-0.8, 5.8), (6.6, -0.9)]]"
